Satate/U.T.,Infected,Recovered,Decerrased,Population
Andaman and Nicobar Islands,119,66,0,380581
Andhra Pradesh,17699,8008,218,49577103
Arunachal Pradesh,259,76,1,1383727
Assam,10668,6657,14,31205576
Bihar,11700,8686,89,104099452
Chandigarh,460,395,6,1055450
Chhattisgarh,3161,2549,14,25545198
Dadra and Nagar Haveli and Daman and Diu,271,96,0,585764
Delhi,97200,68256,3004,16787941
Goa,1684,825,6,1458545
Gujarat,35312,25406,1925,60439692
Haryana,16548,12257,260,25351462
Himachal Pradesh,1046,704,11,6864602
Jammu and Kashmir,8246,5143,127,12267032
Jharkhand,2739,2035,17,32988134
Karnataka,21549,9244,335,61095297
Kerala,5204,3048,25,33406061
Ladakh,1005,826,1,274000
Lakshadweep,0,0,0,64473
Madhya Pradesh,14604,11234,598,72626809
Maharashtra,200064,108082,8671,112374333
Manipur,1325,667,0,2570390
Meghalaya,62,43,1,2966889
Mizoram,164,130,0,1097206
Nagaland,563,228,0,1978502
Odisha,8601,5934,34,41974218
Puducherry,802,331,12,1247953
Punjab,6109,4306,162,27743338
Rajasthan,19532,15640,447,68548437
Sikkim,103,58,0,610577
Tamil Nadu,107001,60592,1450,72147030
Telengana,22312,11537,288,35003674
Tripura,1546,1202,1,3673917
Uttar Pradesh,26554,18154,773,199812341
Uttarakhand,3093,2502,42,10086292
West Bengal,21231,14166,736,91276115
