Date,Time,State,Recovered,Deaths,Confirmed
1/6/2020,8:00 AM,Delhi,8478,473,19844
2/6/2020,8:00 AM,Delhi,8746,523,20834
3/6/2020,8:00 AM,Delhi,9243,556,22132
4/6/2020,8:00 AM,Delhi,9542,606,23645
5/6/2020,8:00 AM,Delhi,9898,650,25004
6/6/2020,8:00 AM,Delhi,10315,708,26334
7/6/2020,8:00 AM,Delhi,10664,761,27654
8/6/2020,8:00 AM,Delhi,10664,761,27654
9/6/2020,8:00 AM,Delhi,11357,874,29943
10/6/2020,8:00 AM,Delhi,11861,905,31309
11/6/2020,8:00 AM,Delhi,12245,984,32810
12/6/2020,8:00 AM,Delhi,12731,1085,34687
13/06/20,8:00 AM,Delhi,13398,1214,36824
14/06/20,8:00 AM,Delhi,14945,1271,38958
15/06/20,8:00 AM,Delhi,15823,1327,41182
16/06/20,8:00 AM,Delhi,16427,1400,42829
17/06/20,8:00 AM,Delhi,16500,1837,44688
18/06/20,8:00 AM,Delhi,17457,1904,47102
19/06/20,8:00 AM,Delhi,21341,1969,49979
20/06/20,8:00 AM,Delhi,23569,2035,53116
21/06/20,8:00 AM,Delhi,31294,2112,56746
22/06/20,8:00 AM,Delhi,33013,2175,59746
23/06/20,8:00 AM,Delhi,36602,2233,62655
24/06/20,8:00 AM,Delhi,39313,2301,66602
25/06/20,8:00 AM,Delhi,41437,2365,70390
26/06/20,8:00 AM,Delhi,44765,2429,73780
27/06/20,8:00 AM,Delhi,47091,2492,77240
28/06/20,8:00 AM,Delhi,49301,2558,80188
29/06/20,8:00 AM,Delhi,52607,2623,83077
30/06/20,8:00 AM,Delhi,56235,2680,85161
1/6/2020,8:00 AM,Haryana,1048,20,2091
2/6/2020,8:00 AM,Haryana,1055,21,2356
3/6/2020,8:00 AM,Haryana,1069,23,2652
4/6/2020,8:00 AM,Haryana,1089,23,2954
5/6/2020,8:00 AM,Haryana,2134,24,3281
6/6/2020,8:00 AM,Haryana,2134,24,3597
7/6/2020,8:00 AM,Haryana,2134,24,3952
8/6/2020,8:00 AM,Haryana,2134,28,4448
9/6/2020,8:00 AM,Haryana,2134,39,4854
10/6/2020,8:00 AM,Haryana,2134,45,5209
11/6/2020,8:00 AM,Haryana,2188,52,5579
12/6/2020,8:00 AM,Haryana,2260,64,5968
13/06/20,8:00 AM,Haryana,2475,70,6334
14/06/20,8:00 AM,Haryana,2803,78,6749
15/06/20,8:00 AM,Haryana,3003,88,7208
16/06/20,8:00 AM,Haryana,3565,100,7722
17/06/20,8:00 AM,Haryana,3748,118,8272
18/06/20,8:00 AM,Haryana,3952,130,8832
19/06/20,8:00 AM,Haryana,4556,134,9218
20/06/20,8:00 AM,Haryana,4889,144,9743
21/06/20,8:00 AM,Haryana,5128,149,10223
22/06/20,8:00 AM,Haryana,5557,160,10635
23/06/20,8:00 AM,Haryana,5916,169,11025
24/06/20,8:00 AM,Haryana,6498,178,11520
25/06/20,8:00 AM,Haryana,6925,188,12010
26/06/20,8:00 AM,Haryana,7380,198,12463
27/06/20,8:00 AM,Haryana,8016,211,12884
28/06/20,8:00 AM,Haryana,8472,218,13427
29/06/20,8:00 AM,Haryana,8917,223,13829
30/06/20,8:00 AM,Haryana,9502,232,14210
1/6/2020,8:00 AM,Uttar Pradesh,4709,213,7823
2/6/2020,8:00 AM,Uttar Pradesh,4843,217,8075
3/6/2020,8:00 AM,Uttar Pradesh,5030,222,8361
4/6/2020,8:00 AM,Uttar Pradesh,5176,229,8729
5/6/2020,8:00 AM,Uttar Pradesh,5439,245,9237
6/6/2020,8:00 AM,Uttar Pradesh,5648,257,9733
7/6/2020,8:00 AM,Uttar Pradesh,5648,257,9733
8/6/2020,8:00 AM,Uttar Pradesh,6185,275,10536
9/6/2020,8:00 AM,Uttar Pradesh,6344,283,10947
10/6/2020,8:00 AM,Uttar Pradesh,6669,301,11335
11/6/2020,8:00 AM,Uttar Pradesh,6871,321,11610
12/6/2020,8:00 AM,Uttar Pradesh,7292,345,12088
13/06/20,8:00 AM,Uttar Pradesh,7609,365,12616
14/06/20,8:00 AM,Uttar Pradesh,7875,385,13118
15/06/20,8:00 AM,Uttar Pradesh,8268,399,13615
16/06/20,8:00 AM,Uttar Pradesh,8268,399,13615
17/06/20,8:00 AM,Uttar Pradesh,8610,417,14091
18/06/20,8:00 AM,Uttar Pradesh,8904,435,14598
19/06/20,8:00 AM,Uttar Pradesh,9239,465,15181
20/06/20,8:00 AM,Uttar Pradesh,9638,488,15785
21/06/20,8:00 AM,Uttar Pradesh,9995,507,16594
22/06/20,8:00 AM,Uttar Pradesh,10995,550,17731
23/06/20,8:00 AM,Uttar Pradesh,11601,569,18322
24/06/20,8:00 AM,Uttar Pradesh,12116,588,18893
25/06/20,8:00 AM,Uttar Pradesh,12586,596,19557
26/06/20,8:00 AM,Uttar Pradesh,13119,611,20193
27/06/20,8:00 AM,Uttar Pradesh,13583,630,20943
28/06/20,8:00 AM,Uttar Pradesh,14215,649,21549
29/06/20,8:00 AM,Uttar Pradesh,14808,660,22147
30/06/20,8:00 AM,Uttar Pradesh,15506,672,22828
